type,cycle,v1,v2,v7,v16,v17,v18,v21,v22,v23,v24,v25,v46,v47,v52,v53,v99
F01,11,1.189289093,1.198114141,1.215000788,1.231992467,1.228429286,1.222264608,1.215976206,1.215506236,1.211671066,1.20914828,1.209448115,1.182926432,1.191341909,1.206056595,1.207531357,1.201331075
F01,12,1.228291829,1.230121994,1.224940364,1.239410909,1.239631907,1.239475759,1.234532293,1.232960129,1.231811651,1.231555049,1.230658468,1.240077209,1.24071401,1.238288625,1.245190684,1.225900396
F01,13,1.204954402,1.204187648,1.201748403,1.203165944,1.202519735,1.203493627,1.211470032,1.210593669,1.207939402,1.205088933,1.204159927,1.204520035,1.21477356,1.177797318,1.17374115,1.206780116
F01,14,1.197387568,1.197696813,1.195804723,1.185633214,1.186944071,1.18670756,1.189916611,1.193867747,1.201151657,1.204334513,1.206217321,1.206303914,1.205659358,1.200745138,1.199015427,1.199267324
F01,15,1.228157298,1.229919561,1.232932281,1.239240901,1.240084839,1.239407857,1.225523249,1.218743261,1.215382512,1.21554184,1.21978658,1.224917221,1.224016062,1.227316411,1.22423083,1.217943954
F01,16,1.241901271,1.239950434,1.222229004,1.208494314,1.207412338,1.205863317,1.200497818,1.201060486,1.201332601,1.202467219,1.204176839,1.217158763,1.217290115,1.214829127,1.213280233,1.222154872
F01,17,1.232301585,1.234519958,1.232143911,1.228988902,1.227096812,1.225643794,1.21777242,1.214815267,1.215048726,1.215578842,1.215005366,1.220066452,1.229032262,1.218919373,1.228279368,1.212821198
F01,18,1.236764399,1.232813263,1.225894165,1.222847366,1.221307755,1.218042882,1.203829066,1.198633575,1.194441223,1.193577194,1.191519674,1.204891078,1.202470271,1.200774511,1.202765528,1.20843722
F01,19,1.154461543,1.153396479,1.162826029,1.164348729,1.164796956,1.165282313,1.172199885,1.170552063,1.171870677,1.174622218,1.176738485,1.187823613,1.189162318,1.190051142,1.191889064,1.201760737
F01,20,2.146405792,2.13114535,2.119533157,2.118570073,2.123836772,2.117713674,2.091895294,2.094033178,2.082875443,2.081811905,2.078559494,2.386358134,2.425455221,2.464040629,2.460199229,0.01159987926
F01,21,2.179526774,2.180653636,2.179475657,2.18090566,2.180240885,2.176925151,2.171420288,2.170874786,2.169298045,2.174026744,2.200968933,2.217643738,2.213969167,2.20560023,2.204592133,2.214007823
F01,22,2.187444305,2.183301544,2.201777395,2.17484436,2.172215017,2.174890645,2.19858195,2.198790741,2.202987671,2.201862335,2.20075709,2.225794729,2.236527507,2.253803507,2.255366516,2.193865712
F01,23,2.238543193,2.241588593,2.243018341,2.240928396,2.236464183,2.235943095,2.252570089,2.257507324,2.242764791,2.24597702,2.243086497,2.245936839,2.253121948,2.260926819,2.266977183,2.228894297
F01,24,2.237577057,2.233496094,2.22859904,2.243976847,2.247275543,2.248866272,2.24408493,2.247519938,2.246661886,2.250291443,2.254744975,2.290954336,2.291484578,2.282607015,2.284533183,2.247122447
F01,25,2.290357717,2.256111654,2.230240631,2.209197235,2.214654032,2.227828979,2.193414307,2.18845698,2.202054087,2.211038462,2.209218852,2.302555847,2.311419678,2.269501495,2.272812653,2.233542379
F01,26,2.262574514,2.250634766,2.236553701,2.244881185,2.243720245,2.242056783,2.243958282,2.241706085,2.236907705,2.235161082,2.22938563,2.236281586,2.235890706,2.251239014,2.245519511,2.292967224
F01,27,2.19822642,2.194298553,2.189118449,2.186840057,2.195722198,2.20274353,2.229456838,2.238421122,2.24386851,2.241956329,2.237277222,2.243021393,2.241288503,2.237536875,2.236920166,2.160630544
F01,28,2.245916748,2.242734019,2.238758087,2.269697825,2.276374308,2.284526825,2.289824422,2.292276255,2.296132914,2.295746613,2.298688253,2.311401113,2.310289764,2.277935537,2.273316701,2.219458516
F01,29,2.266018677,2.266366577,2.268431854,2.256143951,2.255772909,2.253223928,2.258676147,2.258881632,2.257846069,2.260914358,2.261792501,2.268230693,2.278529104,2.229241943,2.203238169,2.259568024
F01,30,2.254360199,2.254251862,2.256218211,2.264761861,2.262478892,2.267204285,2.270654551,2.277535248,2.276473236,2.274511464,2.276088206,2.275236511,2.267494965,2.261529541,2.259826152,2.282256063
F01,31,2.32948583,2.331841532,2.304044596,2.287882996,2.29225769,2.287607829,2.26296107,2.251696777,2.247091675,2.239917501,2.242299652,2.278889211,2.27490565,2.283110809,2.286675517,2.271724447
F01,32,2.309071604,2.305859375,2.302531179,2.322362518,2.324022675,2.323665619,2.323994954,2.323922221,2.321704102,2.31677297,2.312173971,2.308513387,2.308320363,2.311309814,2.310536957,2.274500783
F01,33,2.237971242,2.262440236,2.269196828,2.289240011,2.304718526,2.321932729,2.280935923,2.275961558,2.272640991,2.277771759,2.278320313,2.267275492,2.27698644,2.306120555,2.310762787,2.295987701
F01,34,2.256573741,2.253194682,2.249025472,2.283047485,2.297658793,2.297816467,2.288533783,2.288402303,2.279360708,2.28505249,2.288985189,2.268332926,2.267689768,2.275695546,2.262900798,2.322028605
F01,35,2.310623423,2.316394043,2.28286972,2.297572072,2.301960754,2.298204295,2.303553009,2.303872935,2.302092234,2.297893778,2.295868683,2.248968252,2.252290344,2.240354919,2.248612722,2.313361104
F01,36,2.324407705,2.314976501,2.303373718,2.273953501,2.271273041,2.263680013,2.301792145,2.266522725,2.266173299,2.268201447,2.269393158,2.286218007,2.288128662,2.279108683,2.278018951,2.339394379
