serial,type,cycle,value
SN 001,F01,3,1.2356421152733332
SN 001,F01,3,1.2367026011133333
SN 001,F01,3,1.2374352773000001
SN 001,F01,3,1.2385884602833335
SN 001,F01,3,1.2397602081266668
SN 001,F01,3,1.2400276184066668
SN 001,F01,3,1.23931973775
SN 001,F01,3,1.2387106577533333
SN 001,F01,3,1.2391387939433334
SN 001,F01,3,1.2389208475733333
SN 001,F01,3,1.2372807820633334
SN 001,F01,3,1.23735809326
SN 001,F01,3,1.2385065714499999
SN 001,F01,3,1.2403600056933333
SN 001,F01,3,1.24496968587
SN 001,F01,3,1.2470488230366668
SN 001,F01,3,1.2483395894366667
SN 001,F01,3,1.2479562123599999
SN 001,F01,3,1.2481896718333334
SN 001,F01,3,1.2468926747633333
SN 001,F01,3,1.2476161956766667
SN 001,F01,3,1.24874000549
SN 001,F01,3,1.24879875183
SN 001,F01,3,1.2467505137100001
SN 001,F01,3,1.2453189849833335
SN 001,F01,3,1.24397417704
SN 001,F01,3,1.2427745819066667
SN 001,F01,3,1.2408562978100002
SN 001,F01,3,1.23801498413
SN 001,F01,3,1.2356267293266667
SN 001,F01,3,1.23428955078
SN 001,F01,3,1.2335275014233333
SN 001,F01,3,1.23336054484
SN 001,F01,3,1.2335275014233333
SN 001,F01,3,1.2345523834199998
SN 001,F01,3,1.2350811004633333
SN 001,F01,3,1.2346327463766669
SN 001,F01,3,1.2365820566799999
SN 001,F01,3,1.2364367167133332
SN 001,F01,3,1.2360008239733333
SN 001,F01,3,1.2384447733533333
SN 001,F01,3,1.24023017883
SN 001,F01,3,1.24121017456
SN 001,F01,3,1.24180234273
SN 001,F01,3,1.2433527628566667
SN 001,F01,3,1.2435629526766665
SN 001,F01,3,1.2429400126133332
SN 001,F01,3,1.2412380218499999
SN 001,F01,3,1.2396737416566666
SN 001,F01,3,1.2403863271066666
SN 001,F01,3,1.23952840169
SN 001,F01,3,1.2386210123666668
SN 001,F01,4,1.2226726531966667
SN 001,F01,4,1.22630996704
SN 001,F01,4,1.2269453684466667
SN 001,F01,4,1.2256097157766668
SN 001,F01,4,1.2247224171933333
SN 001,F01,4,1.2244720458966667
SN 001,F01,4,1.2233451843233332
SN 001,F01,4,1.2243314107233334
SN 001,F01,4,1.2260935465466667
SN 001,F01,4,1.22588030497
SN 001,F01,4,1.22552159627
SN 001,F01,4,1.2257319132466666
SN 001,F01,4,1.22615699768
SN 001,F01,4,1.2253206888833332
SN 001,F01,4,1.22665634155
SN 001,F01,4,1.2272205352766667
SN 001,F01,4,1.2276672363266667
SN 001,F01,4,1.2287400563533335
SN 001,F01,4,1.2307047526033335
SN 001,F01,4,1.2299643198633334
SN 001,F01,4,1.2314267476366667
SN 001,F01,4,1.2329121907533334
SN 001,F01,4,1.23227221171
SN 001,F01,4,1.2316600799533333
SN 001,F01,4,1.2291172027566666
SN 001,F01,4,1.2264769236233335
SN 001,F01,4,1.22418454488
SN 001,F01,4,1.2228767395
SN 001,F01,4,1.2248708089166667
SN 001,F01,4,1.22507794698
SN 001,F01,4,1.22493426005
SN 001,F01,4,1.2242262522366665
SN 001,F01,4,1.22292315165
SN 001,F01,4,1.2205101013166666
SN 001,F01,4,1.2212304433166667
SN 001,F01,4,1.22193845113
SN 001,F01,4,1.2212535858133333
SN 001,F01,4,1.2222676595033335
SN 001,F01,4,1.22293395996
SN 001,F01,4,1.22483990987
SN 001,F01,4,1.2237130482966667
SN 001,F01,4,1.2235955556233333
SN 001,F01,4,1.2250409444166666
SN 001,F01,4,1.2258431752499999
SN 001,F01,4,1.2266732533766667
SN 001,F01,4,1.2283983866366666
SN 001,F01,4,1.2273549397766668
SN 001,F01,4,1.2260935465466667
SN 001,F01,4,1.2258338928199999
SN 001,F01,4,1.2254660288466668
SN 001,F01,4,1.2243174235
SN 001,F01,4,1.2233250935866666
SN 001,F01,4,1.2233559926333333
SN 001,F01,4,1.2237547556533335
SN 001,F01,4,1.2236156463599999
SN 001,F01,4,1.22438240051
SN 001,F01,4,1.2246543884266667
SN 001,F01,4,1.2237981160466667
SN 001,F01,4,1.2250718434633332
SN 001,F01,4,1.2241025288866667
SN 001,F01,4,1.2254489898666667
SN 001,F01,4,1.2272266387933333
SN 001,F01,4,1.2260039011633335
SN 001,F01,4,1.22645072937
SN 001,F01,4,1.2277430216466667
SN 001,F01,4,1.2292888641333335
SN 001,F01,4,1.2305316925033334
SN 001,F01,4,1.23385213216
SN 001,F01,4,1.2355742136633334
SN 001,F01,4,1.2354288736966665
SN 001,F01,4,1.2341241200733333
