serial,type,cycle,value_min,value_median,value_std_overall,rolling_mean_last15,rolling_std_last15,rolling_slope_last15,delta_from_roll_mean,diff1_mean,diff1_max,diff1_min,diff1_std,diff2_mean,diff2_max,diff2_min,diff2_std,num_peaks,mean_peak_prominence,mean_peak_width,zero_crossing_rate,lag1_autocorr,std_roll_mean15_series,range_roll_mean15_series,std_roll_std15_series,severity_score,severity_weighted_delta,severity_weighted_std,risk_weighted_trend
SN 043,N01,230,3.320011633333333,3.33411965,0.002923304448650637,3.331977097777778,0.0028957091980106693,-0.0001530741666666494,-0.006457297777778148,-0.0001550049586776858,0.009079233333333825,-0.020536800000000355,0.003550940698086491,-2.413861111111304e-05,0.02961603333333418,-0.016809833333333746,0.005575280647688072,27.0,0.004843993827160457,2.4412977503756026,47.0,0.1989412132317916,0.0009745209824244712,0.0035813399999997664,0.0006797668284152515,0,-0.006457297777778148,0.0028957091980106693,-0.0001530741666666494
SN 036,N01,103,2.80988210042,2.8180510203016667,0.0020152388993707965,2.8181842380084445,0.000643796805300454,2.497809267859268e-05,0.0008198208282221842,-3.5656385179061815e-05,0.010594940186666513,-0.009159088133333437,0.0020355971132078564,9.210374611109036e-06,0.009415690103333763,-0.013213602703332938,0.002873050736177817,23.0,0.0027790898859418973,2.206784283846702,52.0,0.48020673352141735,0.0004542046194604747,0.0028598700626671913,0.0011395157400531965,0,0.0008198208282221842,0.000643796805300454,2.497809267859268e-05
SN 017,F02,183,3.31367289225,3.32204831441,0.0020889183819549034,3.321866522892889,0.001034546750051905,3.799347647618832e-05,0.00011376275044439055,-3.9590882865014615e-05,0.007452646893333359,-0.007644144693333299,0.002199004730260055,2.4539099833335392e-05,0.008735148109999535,-0.009491475423333728,0.0032443427604738036,25.0,0.003103098551333332,2.2770367631232653,53.0,0.43868741482448587,0.0005600140342267738,0.002927280002222421,0.0010760597824910202,2,0.00034128825133317164,0.00206909350010381,0.00011398042942856496
SN 037,N01,129,1.9517476399733331,1.95940799713,0.0022445862658572917,1.9592156389013333,0.002487753212916438,1.2758799928568638e-05,0.002233666311999949,5.672654490357411e-06,0.005753580729999541,-0.007002512613333511,0.002311343308361756,-1.7351574388885237e-05,0.01039098103999958,-0.010599644976666767,0.0034013247564554277,28.0,0.003408745356904711,2.246489872580189,44.0,0.4711635383387015,0.0008314964523821648,0.003535215589555607,0.0008054674757133912,0,0.002233666311999949,0.002487753212916438,1.2758799928568638e-05
SN 011,N01,22,1.8609180450433331,1.8623788197833333,0.0005934329770632162,1.8624762132417778,0.00041838567303565115,-2.0667485000212616e-06,0.0003741031215549473,1.3293641873215815e-06,0.002511978149999816,-0.002394485473333763,0.000891146155155106,1.2868245444443611e-05,0.0042371114100001606,-0.004646682739999353,0.0015834861025329403,37.0,0.0010665343689189692,1.874284763167118,66.0,-0.12219062615972534,0.00019782475504716467,0.0007311672633332211,0.00011196052146703075,0,0.0003741031215549473,0.00041838567303565115,-2.0667485000212616e-06
SN 004,F01,71,1.0687702178933334,1.0938056945783332,0.01112681112554093,1.0707037523044443,0.0026179072533316886,-0.00041454587654762045,-0.0015084499777775484,-0.00018041521391184542,0.003898493449999707,-0.0056762695333334445,0.001646073164802261,-2.9886033805555843e-05,0.003846104940000039,-0.003672917683333665,0.0015620381039312481,6.0,0.008857324388333199,8.187300027350256,4.0,0.9891022719689486,0.009361927148021407,0.03235806783000017,0.002038439415243047,1,-0.003016899955555097,0.003926860879997533,-0.0008290917530952409
SN 042,N01,266,2.7361735,2.7381409833333334,0.0008674079385660296,2.738389553333333,0.0005078480860819466,2.5191666666662155e-05,-0.00024158666666629358,-4.4955922864977606e-06,0.0034588999999995984,-0.0025853333333332174,0.0011013690130918412,6.815277777775612e-06,0.004517866666666315,-0.0044178999999990864,0.001744494213231433,31.0,0.0015935655913978512,1.7616585937306894,49.0,0.19936687288108398,0.0003604217558661517,0.0013395177777772993,0.00022134223244030452,0,-0.00024158666666629358,0.0005078480860819466,2.5191666666662155e-05
SN 003,F01,50,1.17747739156,1.2827388127633332,0.046308703999442445,1.3339044613291111,0.008219286053293634,-0.0016760780698095294,-0.013268093532444514,0.0003749458586225906,0.04882494608666699,-0.022944641113333386,0.010016421409412115,1.8681420277758913e-06,0.038961029053332874,-0.023069890336667065,0.008910379601064876,5.0,0.04718727111666658,10.604413152184033,5.0,0.9767448779984022,0.03902636735004906,0.14056651645244433,0.01739997704243771,1,-0.026536187064889027,0.012328929079940452,-0.0033521561396190587
SN 017,F02,188,3.2950396219866667,3.320225779215,0.005686337067705102,3.317739664712222,0.015965725172646005,-0.0023339907329285514,-0.014102223715555251,-0.00013139582862258854,0.015516916910000234,-0.014332834879999812,0.0035887753619025984,-7.97271728888882e-05,0.013079071043333723,-0.014816538490000308,0.00441199121134429,20.0,0.005406710307166662,2.5741210886307804,54.0,0.795936994880443,0.0010621753532336657,0.007505917019333452,0.0033563192760641884,2,-0.04230667114666575,0.03193145034529201,-0.007001972198785654
SN 034,N01,66,4.273488871253333,4.279232279458333,0.002408466485897681,4.278424004447111,0.002651684446404525,-0.00017576671784523982,-0.0032302178271113036,-5.367058366391258e-05,0.007014973956666282,-0.009440104166666963,0.0032423903188381255,-2.5528801833322548e-05,0.012946573896667424,-0.01040496826000048,0.005372092202231362,33.0,0.004672503230808098,1.9283918231823802,63.0,0.08686324674393026,0.0005207096802789986,0.00215874565933305,0.0005618670107903623,0,-0.0032302178271113036,0.002651684446404525,-0.00017576671784523982
